date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:03	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://themewagon.github.io/robots.txt		(from )
12:41:03	38271/38271	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-957f%22	https://themewagon.github.io/Plumberz/	E:/React/plumbing/themewagon.github.io/Plumberz/index.html	(from )
12:41:03	11887/11887	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266d43fd9-2e6f%22	https://themewagon.github.io/Plumberz/img/favicon.ico	E:/React/plumbing/themewagon.github.io/Plumberz/img/favicon.ico	(from https://themewagon.github.io/Plumberz/)
12:41:04	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	E:/React/plumbing/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/Plumberz/)
12:41:04	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	E:/React/plumbing/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/Plumberz/)
12:41:05	16964/16964	---M-Z	200	added ('OK')	text/css	etag:W/%2266d43fd9-4244%22	https://themewagon.github.io/Plumberz/lib/animate/animate.min.css	E:/React/plumbing/themewagon.github.io/Plumberz/lib/animate/animate.min.css	(from https://themewagon.github.io/Plumberz/)
12:41:05	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2266d43fd9-b78%22	https://themewagon.github.io/Plumberz/lib/owlcarousel/assets/owl.carousel.min.css	E:/React/plumbing/themewagon.github.io/Plumberz/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/Plumberz/)
12:41:05	9058/9058	---M-Z	200	added ('OK')	text/css	etag:W/%2266d43fd9-2362%22	https://themewagon.github.io/Plumberz/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	E:/React/plumbing/themewagon.github.io/Plumberz/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://themewagon.github.io/Plumberz/)
12:41:05	164190/164190	---M-Z	200	added ('OK')	text/css	etag:W/%2266d43fd9-2815e%22	https://themewagon.github.io/Plumberz/css/bootstrap.min.css	E:/React/plumbing/themewagon.github.io/Plumberz/css/bootstrap.min.css	(from https://themewagon.github.io/Plumberz/)
12:41:05	11840/11840	---M-Z	200	added ('OK')	text/css	etag:W/%2266d43fd9-2e40%22	https://themewagon.github.io/Plumberz/css/style.css	E:/React/plumbing/themewagon.github.io/Plumberz/css/style.css	(from https://themewagon.github.io/Plumberz/)
12:41:05	38271/38271	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-957f%22	https://themewagon.github.io/Plumberz/index.html	E:/React/plumbing/themewagon.github.io/Plumberz/index-2.html	(from https://themewagon.github.io/Plumberz/)
12:41:07	21938/21938	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-55b2%22	https://themewagon.github.io/Plumberz/about.html	E:/React/plumbing/themewagon.github.io/Plumberz/about.html	(from https://themewagon.github.io/Plumberz/)
12:41:07	25320/25320	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-62e8%22	https://themewagon.github.io/Plumberz/service.html	E:/React/plumbing/themewagon.github.io/Plumberz/service.html	(from https://themewagon.github.io/Plumberz/)
12:41:08	15268/15268	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-3ba4%22	https://themewagon.github.io/Plumberz/booking.html	E:/React/plumbing/themewagon.github.io/Plumberz/booking.html	(from https://themewagon.github.io/Plumberz/)
12:41:08	20223/20223	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-4eff%22	https://themewagon.github.io/Plumberz/team.html	E:/React/plumbing/themewagon.github.io/Plumberz/team.html	(from https://themewagon.github.io/Plumberz/)
12:41:08	15802/15802	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-3dba%22	https://themewagon.github.io/Plumberz/testimonial.html	E:/React/plumbing/themewagon.github.io/Plumberz/testimonial.html	(from https://themewagon.github.io/Plumberz/)
12:41:09	11887/11887	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-2e6f%22	https://themewagon.github.io/Plumberz/404.html	E:/React/plumbing/themewagon.github.io/Plumberz/404.html	(from https://themewagon.github.io/Plumberz/)
12:41:09	14554/14554	---M-Z	200	added ('OK')	text/html	etag:W/%2266d43fd9-38da%22	https://themewagon.github.io/Plumberz/contact.html	E:/React/plumbing/themewagon.github.io/Plumberz/contact.html	(from https://themewagon.github.io/Plumberz/)
12:41:10	81271/81271	---M--	200	added ('OK')	image/jpeg	etag:%2266d43fd9-13d77%22	https://themewagon.github.io/Plumberz/img/carousel-1.jpg	E:/React/plumbing/themewagon.github.io/Plumberz/img/carousel-1.jpg	(from https://themewagon.github.io/Plumberz/)
12:41:10	84162/84162	---M--	200	added ('OK')	image/jpeg	etag:%2266d43fd9-148c2%22	https://themewagon.github.io/Plumberz/img/carousel-2.jpg	E:/React/plumbing/themewagon.github.io/Plumberz/img/carousel-2.jpg	(from https://themewagon.github.io/Plumberz/)
12:41:25	19651/19651	---M--	200	added ('OK')	image/jpeg	etag:%2266d43fd9-4cc3%22	https://themewagon.github.io/Plumberz/img/service-1.jpg	E:/React/plumbing/themewagon.github.io/Plumberz/img/service-1.jpg	(from https://themewagon.github.io/Plumberz/)
12:41:25	22323/22323	---M--	200	added ('OK')	image/jpeg	etag:%2266d43fd9-5733%22	https://themewagon.github.io/Plumberz/img/service-2.jpg	E:/React/plumbing/themewagon.github.io/Plumberz/img/service-2.jpg	(from https://themewagon.github.io/Plumberz/)
12:41:25	23627/23627	---M--	200	added ('OK')	image/jpeg	etag:%2266d43fd9-5c4b%22	https://themewagon.github.io/Plumberz/img/service-3.jpg	E:/React/plumbing/themewagon.github.io/Plumberz/img/service-3.jpg	(from https://themewagon.github.io/Plumberz/)
12:41:26	49129/49129	---M--	200	added ('OK')	image/jpeg	etag:%2266d43fd9-bfe9%22	https://themewagon.github.io/Plumberz/img/about-1.jpg	E:/React/plumbing/themewagon.github.io/Plumberz/img/about-1.jpg	(from https://themewagon.github.io/Plumberz/)
12:41:26	18782/18782	---M--	200	added ('OK')	image/jpeg	etag:%2266d43fd9-495e%22	https://themewagon.github.io/Plumberz/img/about-2.jpg	E:/React/plumbing/themewagon.github.io/Plumberz/img/about-2.jpg	(from https://themewagon.github.io/Plumberz/)
